year,mode,staff_flag,proximity,epistemic_source,n_turns
2005,live,guest,institutional,lexicon,88
2005,live,guest,institutional,sector_default,256
2005,live,guest,institutional,name_title,6
2005,live,guest,unresolved,sector_default,986
2005,live,staff,commentary,sector_default,1767
2005,live,staff,commentary,lexicon,63
2005,live,staff,commentary,standing_rule,3
2005,live,staff,commentary,form,1
2005,live,staff,direct,sector_default,37
2005,live,staff,direct,lexicon,44
2005,live,staff,expert,lexicon,651
2005,live,staff,expert,topic_needed,4
2005,live,staff,expert,name_title,1
2005,live,staff,unresolved,sector_default,9155
2006,clip,guest,commentary,sector_default,149
2006,clip,guest,commentary,lexicon,163
2006,clip,guest,commentary,form,73
2006,clip,guest,commentary,standing_rule,59
2006,clip,guest,direct,lexicon,1343
2006,clip,guest,direct,sector_default,54
2006,clip,guest,direct,name_title,29
2006,clip,guest,expert,name_title,35
2006,clip,guest,expert,lexicon,106
2006,clip,guest,expert,topic_needed,16
2006,clip,guest,expert,sector_default,80
2006,clip,guest,institutional,lexicon,66
2006,clip,guest,institutional,sector_default,83
2006,clip,guest,institutional,name_title,14
2006,clip,guest,unresolved,sector_default,875
2006,clip,staff,commentary,sector_default,2534
2006,clip,staff,commentary,form,2
2006,clip,staff,commentary,lexicon,4
2006,clip,staff,direct,sector_default,42
2006,clip,staff,direct,lexicon,21
2006,clip,staff,expert,lexicon,74
2006,clip,staff,expert,topic_needed,1
2006,clip,staff,unresolved,sector_default,866
2006,live,guest,commentary,sector_default,560
2006,live,guest,commentary,lexicon,411
2006,live,guest,commentary,form,221
2006,live,guest,commentary,standing_rule,26
2006,live,guest,direct,lexicon,984
2006,live,guest,direct,name_title,6
2006,live,guest,direct,sector_default,47
2006,live,guest,expert,lexicon,129
2006,live,guest,expert,topic_needed,42
2006,live,guest,expert,sector_default,60
2006,live,guest,expert,name_title,7
2006,live,guest,institutional,sector_default,87
2006,live,guest,institutional,name_title,1
2006,live,guest,institutional,lexicon,162
2006,live,guest,unresolved,sector_default,831
2006,live,staff,commentary,sector_default,2325
2006,live,staff,commentary,form,21
2006,live,staff,commentary,lexicon,92
2006,live,staff,direct,sector_default,60
2006,live,staff,direct,lexicon,32
2006,live,staff,expert,lexicon,522
2006,live,staff,unresolved,sector_default,9425
2007,clip,guest,commentary,lexicon,180
2007,clip,guest,commentary,form,77
2007,clip,guest,commentary,sector_default,195
2007,clip,guest,commentary,standing_rule,69
2007,clip,guest,direct,lexicon,1253
2007,clip,guest,direct,sector_default,172
2007,clip,guest,direct,name_title,27
2007,clip,guest,expert,lexicon,118
2007,clip,guest,expert,name_title,32
2007,clip,guest,expert,sector_default,81
2007,clip,guest,expert,topic_needed,5
2007,clip,guest,institutional,lexicon,55
2007,clip,guest,institutional,sector_default,106
2007,clip,guest,institutional,name_title,6
2007,clip,guest,unresolved,sector_default,795
2007,clip,staff,commentary,sector_default,2125
2007,clip,staff,commentary,lexicon,13
2007,clip,staff,direct,sector_default,48
2007,clip,staff,direct,lexicon,51
2007,clip,staff,expert,lexicon,131
2007,clip,staff,expert,topic_needed,1
2007,clip,staff,unresolved,sector_default,1108
2007,live,guest,commentary,standing_rule,53
2007,live,guest,commentary,lexicon,610
2007,live,guest,commentary,form,134
2007,live,guest,commentary,sector_default,334
2007,live,guest,direct,lexicon,1008
2007,live,guest,direct,sector_default,92
2007,live,guest,direct,name_title,15
2007,live,guest,expert,lexicon,412
2007,live,guest,expert,sector_default,27
2007,live,guest,expert,topic_needed,27
2007,live,guest,expert,name_title,4
2007,live,guest,institutional,lexicon,20
2007,live,guest,institutional,sector_default,116
2007,live,guest,institutional,name_title,2
2007,live,guest,unresolved,sector_default,919
2007,live,staff,commentary,sector_default,2723
2007,live,staff,commentary,lexicon,144
2007,live,staff,commentary,standing_rule,6
2007,live,staff,commentary,form,1
2007,live,staff,direct,lexicon,95
2007,live,staff,direct,sector_default,276
2007,live,staff,expert,lexicon,328
2007,live,staff,expert,topic_needed,11
2007,live,staff,expert,sector_default,3
2007,live,staff,unresolved,sector_default,10202
2008,clip,guest,commentary,sector_default,175
2008,clip,guest,commentary,lexicon,165
2008,clip,guest,commentary,standing_rule,72
2008,clip,guest,commentary,form,55
2008,clip,guest,direct,lexicon,1181
2008,clip,guest,direct,name_title,31
2008,clip,guest,direct,sector_default,106
2008,clip,guest,expert,sector_default,39
2008,clip,guest,expert,lexicon,102
2008,clip,guest,expert,name_title,18
2008,clip,guest,expert,topic_needed,10
2008,clip,guest,institutional,lexicon,24
2008,clip,guest,institutional,name_title,15
2008,clip,guest,institutional,sector_default,39
2008,clip,guest,unresolved,sector_default,1007
2008,clip,staff,commentary,lexicon,20
2008,clip,staff,commentary,sector_default,2055
2008,clip,staff,commentary,form,14
2008,clip,staff,direct,lexicon,64
2008,clip,staff,direct,sector_default,16
2008,clip,staff,expert,lexicon,75
2008,clip,staff,institutional,sector_default,2
2008,clip,staff,unresolved,sector_default,723
2008,live,guest,commentary,lexicon,966
2008,live,guest,commentary,sector_default,433
2008,live,guest,commentary,standing_rule,193
2008,live,guest,commentary,form,110
2008,live,guest,direct,lexicon,861
2008,live,guest,direct,sector_default,79
2008,live,guest,direct,name_title,14
2008,live,guest,expert,name_title,5
2008,live,guest,expert,lexicon,253
2008,live,guest,expert,sector_default,8
2008,live,guest,expert,topic_needed,12
2008,live,guest,institutional,sector_default,92
