year,mode,rank,canonical_id,n_turns,share
2000,all,1,al gore,2487,0.012025181804115735
2000,all,2,william j clinton,2191,0.010593957914281294
2000,all,3,robert novak,1523,0.007364033730465728
2000,all,4,jonathan mann,1412,0.006827324771777812
2000,all,5,margaret carlson,1093,0.005284890917530559
2000,all,6,colleen mcedwards,1052,0.005086647067925112
2000,all,7,david boies,911,0.004404881633916138
2000,all,8,laura bush,818,0.0039552065604208575
2000,all,9,joe lockhart,802,0.003877843106916293
2000,all,10,tucker carlson,787,0.0038053148692557635
2000,all,11,george w. bush,777,0.003756962710815411
2000,all,12,janet reno,764,0.003694104904842952
2000,all,13,michael holmes,758,0.0036650936097787404
2000,all,14,phil beck,744,0.0035974005879622468
2000,all,15,richard roth,743,0.0035925653721182115
2001,all,1,george w. bush,6632,0.026472196609547076
2001,all,2,ari fleischer,4455,0.01778251445951933
2001,all,3,donald rumsfeld,2281,0.009104807066703389
2001,all,4,nathaniel brazill,1618,0.006458385722896135
2001,all,5,robert novak,1524,0.006083176663593146
2001,all,6,john ashcroft,1444,0.005763849804611879
2001,all,7,colin powell,1292,0.00515712877254747
2001,all,8,ok,1231,0.004913642042574253
2001,all,9,jonathan mann,1096,0.004374777968043365
2001,all,10,robert udell,1046,0.004175198681180072
2001,all,11,margaret carlson,970,0.0038718381651478683
2001,all,12,al hunt,947,0.003780031693190754
2001,all,13,richard butler,911,0.0036363346066491833
2001,all,14,mark geragos,861,0.0034367553197858914
2001,all,15,laura bush,831,0.003317007747667916
2002,all,1,george w. bush,4497,0.017508818651155184
2002,all,2,ari fleischer,2900,0.01129098823401157
2002,all,3,donald rumsfeld,2770,0.010784840485590363
2002,all,4,robert novak,1600,0.006229510749799488
2002,all,5,ok ok,1585,0.006171109086520118
2002,all,6,al hunt,1387,0.005400207131232431
2002,all,7,andy serwer,1190,0.004633198620163369
2002,all,8,margaret carlson,1127,0.004387911634390014
2002,all,9,cliff may,1037,0.0040375016547137925
2002,all,10,colin powell,1004,0.003909017995499179
2002,all,11,donna brazile,958,0.0037299195614424433
2002,all,12,james bone,927,0.003609222790665078
2002,all,13,charles moose,897,0.0034924194641063376
2002,all,14,kate o'beirne,873,0.0033989768028593456
2002,all,15,john ashcroft,869,0.0033834030259848468
2003,all,1,george w. bush,4904,0.02117352445922024
2003,all,2,andy serwer,3939,0.01700703769267303
2003,all,3,ari fleischer,2378,0.010267259617460386
2003,all,4,nancy grace,2050,0.008851085877121023
2003,all,5,donald rumsfeld,2019,0.008717240188247485
2003,all,6,robert novak,1644,0.007098139113164371
2003,all,7,colin powell,1424,0.006148266482448944
2003,all,8,al hunt,1291,0.0055740253011527996
2003,all,9,margaret carlson,1087,0.004693234316307586
2003,all,10,kate o'beirne,869,0.003751996891325936
2003,all,11,chris pixley,810,0.0034972583221795257
2003,all,12,andy borowitz,769,0.0033202366046371054
2003,all,13,cliff may,768,0.0033159190017702173
2003,all,14,richard clarke,744,0.003212296532964898
2003,all,15,donna brazile,737,0.0031820733128966796
2004,all,1,george w. bush,8104,0.031962011587412395
2004,all,2,andy serwer,7403,0.029197281809182372
2004,all,3,sarah bernard,2494,0.009836285402147892
2004,all,4,andy borowitz,1839,0.007252978690677615
2004,all,5,donald rumsfeld,1655,0.0065272864236386365
2004,all,6,bob novak,1632,0.006436574890258765
2004,all,7,al hunt,1365,0.005383532307109812
2004,all,8,margaret carlson,1195,0.004713055756041191
2004,all,9,kolo toure,1191,0.004697279837192517
2004,all,10,b j sigesmund,1181,0.004657840040070834
2004,all,11,condoleezza rice,1169,0.004610512283524814
2004,all,12,colin powell,1154,0.0045513525878422886
2004,all,13,kate o'beirne,1004,0.003959755631017034
2004,all,14,jayne weintraub,911,0.0035929655177853767
2004,all,15,allen wastler,892,0.003518029903254178
2005,all,1,andy serwer,7215,0.023803396809058158
2005,all,2,george w. bush,6469,0.021342227852778548
2005,all,3,andy borowitz,1154,0.0038072238278105495
2005,all,4,donald rumsfeld,1047,0.003454214339443367
2005,all,5,condoleezza rice,978,0.0032265727067579872
2005,all,6,owen lafave,925,0.0030517175396228406
2005,all,7,scott mcclellan,878,0.0028966572970690317
2005,all,8,george h w bush,856,0.0028240759069374614
2005,all,9,anne bremner,806,0.0026591182020929832
2005,all,10,bob novak,751,0.002477664726764058
2005,all,11,dannielle romano,712,0.002348997716985365
2005,all,12,jessica hahn,684,0.0022566214022724574
2005,all,13,jessica shaw,652,0.0021510484711719916
2005,all,14,allen wastler,621,0.002048774694168415
2005,all,15,bill clinton,613,0.0020223814613932987
2006,all,1,george w. bush,8659,0.0293575182234277
2006,all,2,andy serwer,6181,0.020956094253263266
2006,all,3,donald rumsfeld,1797,0.006092558060688252
2006,all,4,tony snow,1772,0.006007797931852857
2006,all,5,angelina jolie,1080,0.0036616375656891
2006,all,6,condoleezza rice,1073,0.003637904729615189
2006,all,7,jack hanna,944,0.0032005424648245467
2006,all,8,david gergen,914,0.0030988303102220715
2006,all,9,harvey levin,819,0.0027767418206475674
2006,all,10,sharon rocha,813,0.0027563993897270723
2006,all,11,al sharpton,743,0.0025190710289879643
2006,all,12,scott mcclellan,741,0.0025122902186811326
2006,all,13,liam neeson,718,0.0024343109001525682
2006,all,14,will ferrell,715,0.0024241396846923207
2006,all,15,john bolton,710,0.0024071876589252415
2007,all,1,george w. bush,4969,0.016766204406653846
2007,all,2,ok ok,1447,0.004882410500388028
2007,all,3,tony snow,1278,0.0043121773458852115
2007,all,4,al sharpton,1229,0.00414684347268617
2007,all,5,harvey levin,845,0.002851165772514087
2007,all,6,avery friedman,845,0.002851165772514087
2007,all,7,robert zimmerman,829,0.0027971792016735835
2007,all,8,paris hilton,800,0.0026993285420251712
2007,all,9,richard herman,774,0.0026116003644093533
2007,all,10,terri irwin,772,0.00260485204305429
2007,all,11,kathy griffin,747,0.002520498026116004
2007,all,12,amy holmes,713,0.002405776563079934
2007,all,13,errol louis,665,0.0022438168505584236
2007,all,14,diana west,657,0.002216823565138172
2007,all,15,dave karsnia,657,0.002216823565138172
2008,all,1,barack obama,3183,0.012310726924638858
2008,all,2,george w. bush,2870,0.011100152772137457
2008,all,3,john mccain,2348,0.009081239968285278
2008,all,4,michelle obama,2200,0.008508827908955541
2008,all,5,rob marciano,1601,0.006192106128289919
2008,all,6,bill clinton,1580,0.006110885498249889
2008,all,7,ok ok,1534,0.005932973641971728
2008,all,8,ben stein,1508,0.0058324147666840714
2008,all,9,cindy anthony,1365,0.005279340952601961
2008,all,10,casey anthony,1332,0.0051517085339676276
2008,all,11,kathy griffin,1256,0.004857767206203709
2008,all,12,hillary clinton,1163,0.004498075844597861
2008,all,13,robert zimmerman,1108,0.004285355146873972
2008,all,14,ed rollins,1092,0.004223472762081569
2008,all,15,jamal simmons,889,0.0034383400050279436
2009,all,1,barack obama,12542,0.03924439980349639
2009,all,2,robert gibbs,3567,0.011161280027034893
2009,all,3,rob marciano,2750,0.008604855641812714
2009,all,4,cindy anthony,1909,0.005973334334625626
2009,all,5,ok ok,1681,0.005259913575958972
2009,all,6,jermaine jackson,1562,0.004887558004549622
2009,all,7,casey anthony,1545,0.004834364351491143
2009,all,8,kathy griffin,1302,0.00407400801659642
2009,all,9,avery friedman,1163,0.003639071676882977
2009,all,10,michelle obama,866,0.002709747267567204
2009,all,11,hillary clinton,863,0.00270036015232159
2009,all,12,barack h obama,822,0.0025720695772982003
2009,all,13,michael steele,818,0.002559553423637382
2009,all,14,jacqui jeras,762,0.002384327272385923
2009,all,15,richard herman,759,0.0023749401571403093
2010,all,1,barack obama,5912,0.01724781776595248
2010,all,2,chad myers,3678,0.010730289875367595
2010,all,3,rob marciano,3429,0.010003851001260328
2010,all,4,jacqui jeras,2302,0.006715912803995705
2010,all,5,misty croslin,2184,0.0063716566307239885
2010,all,6,reynolds wolf,1905,0.005557695000700182
2010,all,7,kathy griffin,1667,0.0048633478037623116
2010,all,8,pete dominick,1650,0.004813751575409607
2010,all,9,avery friedman,1207,0.003521332213042058
2010,all,10,robert gibbs,1106,0.0032266722681230453
2010,all,11,richard herman,1087,0.0031712411893759043
2010,all,12,george w. bush,916,0.002672361480651636
2010,all,13,willie nelson,873,0.0025469121971712647
2010,all,14,shirley sherrod,845,0.002465224291649162
2010,all,15,cornell belcher,778,0.0022697568034355598
2011,all,1,barack obama,5135,0.014845588532903143
2011,all,2,rob marciano,3223,0.009317883513446316
2011,all,3,reynolds wolf,2986,0.0086327025042354
2011,all,4,jacqui jeras,2621,0.007577465928868382
2011,all,5,casey anthony,2419,0.006993471988528278
2011,all,6,cindy anthony,2122,0.006134827432681689
2011,all,7,chad myers,2062,0.005961363886046014
2011,all,8,donald trump,1672,0.00483385083291413
2011,all,9,jean casarez,1544,0.004463795266758024
2011,all,10,jose baez,1393,0.004027245341058243
2011,all,11,richard herman,1271,0.003674536129565705
2011,all,12,charlie sheen,1135,0.003281352090524843
2011,all,13,holly hughes,1083,0.003131017016773925
2011,all,14,george anthony,1054,0.003047176302566682
2011,all,15,avery friedman,1038,0.003000919356797169
2012,all,1,barack obama,8217,0.026677358821352276
2012,all,2,chad myers,2502,0.008123007395767726
2012,all,3,rob marciano,2119,0.006879557422714552
2012,all,4,mitt romney,2108,0.006843844760303103
2012,all,5,reynolds wolf,1293,0.004197861136182122
2012,all,6,ann romney,1030,0.0033440038439811175
2012,all,7,stephen moore,1015,0.0032953047588745966
2012,all,8,holly hughes,987,0.0032043998000090904
2012,all,9,jack hanna,901,0.002925191712065036
2012,all,10,bill clinton,898,0.0029154518950437317
2012,all,11,avery friedman,885,0.002873246021284747
2012,all,12,richard herman,804,0.002610270961709533
2012,all,13,joe biden,770,0.002499886368801418
2012,all,14,former gov mitt romney,767,0.0024901465517801137
2012,all,15,lisa bloom,767,0.0024901465517801137
2013,all,1,jodi arias,8705,0.024829643827958093
2013,all,2,barack obama,7220,0.02059391481193078
2013,all,3,juan martinez,4465,0.012735710475799298
2013,all,4,mark o'mara,3878,0.011061385268790521
2013,all,5,bernie de la rionda,2584,0.0073704537221647
2013,all,6,indra petersons,2407,0.006865589051567505
2013,all,7,don west,2361,0.006734381284067669
2013,all,8,chad myers,2033,0.0057988128549384035
2013,all,9,rachel jeantel,1914,0.005459384065101871
2013,all,10,frank taaffe,1504,0.00428992352869029
2013,all,11,andy scholes,1417,0.004041769707549296
2013,all,12,alyce laviolette,1376,0.003924823653908138
2013,all,13,jay carney,1374,0.003919118968364666
2013,all,14,mark eiglarsh,1257,0.003585394864071605
2013,all,15,george zimmerman,1211,0.0034541870965717693
2014,all,1,barack obama,5319,0.019067181433963888
2014,all,2,indra petersons,2010,0.007205308268897803
2014,all,3,anthony bourdain,1339,0.00479995411544983
2014,all,4,ok ok,1271,0.004556192442671198
2014,all,5,susan sarandon,1243,0.004455819989174114
2014,all,6,anahita sedaghatfar,1242,0.004452235258692075
2014,all,7,chad myers,1217,0.004362616996641108
2014,all,8,donald sterling,1166,0.004179795742057134
2014,all,9,judy ho,1084,0.0038858478425299594
2014,all,10,michael dunn,1024,0.003670764013607637
2014,all,11,vanessa barnett,1000,0.003584730482038708
2014,all,12,leeann tweeden,979,0.003509451141915895
2014,all,13,john kerry,923,0.0033087062349217273
2014,all,14,josh earnest,898,0.00321908797287076
2014,all,15,jodi arias,863,0.003093622405999405
2015,all,1,donald trump,4392,0.01825277095515354
2015,all,2,barack obama,4342,0.01804497529309578
2015,all,3,vanessa barnett,1714,0.007123235295339974
2015,all,4,judy ho,1652,0.006865568674388353
2015,all,5,ok ok,1501,0.006238025774973921
2015,all,6,areva martin,1468,0.006100880638015801
2015,all,7,josh earnest,1036,0.004305526117836764
2015,all,8,hillary clinton,976,0.004056171323367453
2015,all,9,harry houck,961,0.003993832624750126
2015,all,10,segun oduolowu,949,0.0039439616658562635
2015,all,11,brian rogers,860,0.0035740853873934527
2015,all,12,jeb bush,827,0.003436940250435332
2015,all,13,pedram javaheri,822,0.003416160684229556
2015,all,14,jonathan gilliam,794,0.003299795113477211
2015,all,15,john kerry,741,0.003079531711695987
2016,all,1,donald trump,16219,0.05665551185228138
2016,all,2,barack obama,6689,0.0233657265417048
2016,all,3,hillary clinton,5336,0.018639485248398386
2016,all,4,kellyanne conway,2748,0.009599195176648945
2016,all,5,bernie sanders,1696,0.00592439411193472
2016,all,6,jeffrey lord,1625,0.005676379971635566
2016,all,7,kayleigh mcenany,1587,0.005543640009221934
2016,all,8,melania trump,1561,0.005452817929675765
2016,all,9,sean spicer,1533,0.0053550095363183526
2016,all,10,boris epshteyn,1494,0.005218776416999099
2016,all,11,katrina pierson,1327,0.004635419213760244
2016,all,12,rudy giuliani,1275,0.004453775054667906
2016,all,13,scottie nell hughes,1274,0.004450281897762283
2016,all,14,ted cruz,1250,0.004366446132027358
2016,all,15,bill clinton,1231,0.004300076150820543
2017,all,1,donald trump,24265,0.09626026967950269
2017,all,2,sean spicer,7956,0.031561784692772446
2017,all,3,sarah huckabee sanders,3359,0.013325293461918382
2017,all,4,kellyanne conway,2658,0.010544397148490342
2017,all,5,jeff sessions,2061,0.008176073183987432
2017,all,6,james comey,1540,0.0061092443975451945
2017,all,7,mike pence,1499,0.005946595683065095
2017,all,8,rex tillerson,1435,0.005692705006803476
2017,all,9,anthony scaramucci,1267,0.005026241981616728
2017,all,10,barack obama,1193,0.004732680887189232
2017,all,11,nikki haley,1077,0.004272504036465049
2017,all,12,jack kingston,1049,0.0041614268656005905
2017,all,13,james clapper,1018,0.004038448569286369
2017,all,14,theresa may,829,0.0032886776659512766
2017,all,15,alan dershowitz,825,0.0032728094986849256
2018,all,1,donald trump,24829,0.10212610181761345
2018,all,2,sarah huckabee sanders,3488,0.014346765602313252
2018,all,3,rudy giuliani,2814,0.01157448348764607
2018,all,4,michael avenatti,2420,0.009953891272247153
2018,all,5,kellyanne conway,2382,0.009797590500203603
2018,all,6,sarah sanders,1878,0.007724548681520724
2018,all,7,mike pompeo,1495,0.006149201426450204
2018,all,8,anthony scaramucci,1335,0.0054910929125826236
2018,all,9,michael cohen,1321,0.00543350841761921
2018,all,10,brett kavanaugh,1149,0.004726041765211561
2018,all,11,james comey,1012,0.0041625363502124455
2018,all,12,karen mcdougal,899,0.003697747212293467
2018,all,13,barack obama,892,0.0036689549648117603
2018,all,14,michael caputo,865,0.0035578991530966064
2018,all,15,peter strzok,822,0.003381032489994694
2019,all,1,donald trump,23242,0.10569157450523865
2019,all,2,rudy giuliani,2526,0.011486830616996508
2019,all,3,william barr,2356,0.010713766006984865
2019,all,4,joe biden,1500,0.0068211583236321306
2019,all,5,mike pompeo,1372,0.0062390861466821886
2019,all,6,kellyanne conway,1181,0.005370525320139697
2019,all,7,boris johnson,1024,0.004656577415599534
2019,all,8,michael cohen,1014,0.00461110302677532
2019,all,9,mick mulvaney,924,0.0042018335273573924
2019,all,10,mike pence,895,0.004069957799767171
2019,all,11,anthony scaramucci,772,0.0035106228172293364
2019,all,12,theresa may,705,0.003205944412107101
2019,all,13,robert mueller,664,0.003019499417927823
2019,all,14,andrew mccabe,583,0.002651156868451688
2019,all,15,gordon sondland,555,0.0025238285797438884
2020,all,1,donald trump,23792,0.10744947499153212
2020,all,2,anthony fauci,5894,0.026618493846674945
2020,all,3,joe biden,1996,0.009014338940950661
2020,all,4,mike pence,1456,0.00657558992886982
2020,all,5,ashish jha,1347,0.0060833239245794285
2020,all,6,kayleigh mcenany,1249,0.005640736140905499
2020,all,7,barack obama,1235,0.0055775093146663655
2020,all,8,peter hotez,1224,0.005527831094049904
2020,all,9,william barr,1165,0.005261375183470701
2020,all,10,deborah birx,1082,0.0048865304279101275
2020,all,11,robert redfield,965,0.004358134808625945
2020,all,12,jill biden,950,0.004290391780512589
2020,all,13,peter navarro,944,0.004263294569267246
2020,all,14,mike pompeo,776,0.0035045726543976516
2020,all,15,lev parnas,759,0.003427797222535847
2021,all,1,joe biden,9483,0.03868133481809616
2021,all,2,eric nelson,4507,0.01838413751188014
2021,all,3,donald trump,3690,0.015051579192109546
2021,all,4,anthony fauci,3615,0.014745652785765857
2021,all,5,jen psaki,2783,0.011351909184726523
2021,all,6,steve schleicher,2768,0.011290723903457785
2021,all,7,matthew frank,1775,0.007240258283467329
2021,all,8,erin eldridge,1676,0.006836435427093658
2021,all,9,jerry blackwell,1614,0.006583536264516208
2021,all,10,rochelle walensky,1370,0.0055882556892114035
2021,all,11,boris johnson,1190,0.004854032313986547
2021,all,12,kyle rittenhouse,1102,0.004495078663876618
2021,all,13,thomas binger,1079,0.004401261232597886
2021,all,14,ashish jha,989,0.0040341495449854586
2021,all,15,john kirby,965,0.003936253094955477
2022,all,1,joe biden,6751,0.03163601941929558
2022,all,2,donald trump,2811,0.013172693021424957
2022,all,3,volodymyr zelenskyy,2320,0.010871806406867983
2022,all,4,john kirby,1613,0.00755871712684399
2022,all,5,boris johnson,1031,0.004831393278224521
2022,all,6,antony blinken,1019,0.004775159796809687
2022,all,7,vladimir putin,803,0.003762957131342668
2022,all,8,cassidy hutchinson,711,0.0033318337738289378
2022,all,9,jens stoltenberg,700,0.0032802864158653394
2022,all,10,ok ok,659,0.0030881553543646552
2022,all,11,william taylor,618,0.002896024292863971
2022,all,12,ketanji brown jackson,615,0.0028819659225102624
2022,all,13,barack obama,577,0.0027038932313632872
2022,all,14,anthony fauci,554,0.0025961123919848545
2022,all,15,ned price,548,0.0025679956512774374
2023,all,1,donald trump,5166,0.023504361000778018
2023,all,2,joe biden,5145,0.023408814817848025
2023,all,3,alex murdaugh,2316,0.010537379031707683
2023,all,4,creighton waters,1635,0.007438952813835087
2023,all,5,john kirby,1431,0.006510789893943737
2023,all,6,volodymyr zelenskyy,1269,0.005773719339912371
2023,all,7,antony blinken,1157,0.00526413969761908
2023,all,8,benjamin netanyahu,980,0.004458821870066291
2023,all,9,merrick garland,879,0.003999290228355377
2023,all,10,nikki haley,856,0.0038946444089558623
2023,all,11,mike pence,824,0.0037490502254434936
2023,all,12,shan wu,695,0.0031621236731592573
2023,all,13,chris christie,653,0.0029710313072992735
2023,all,14,vivek ramaswamy,641,0.0029164334884821353
2023,all,15,jim griffin,635,0.002889134579073566
2024,all,1,donald trump,8979,0.037271180108754305
2024,all,2,joe biden,7174,0.02977875555186584
2024,all,3,kamala harris,6243,0.025914241833049686
2024,all,4,benjamin netanyahu,1213,0.005035075339338342
2024,all,5,nikki haley,1125,0.0046697936988917025
2024,all,6,larry sabato,1084,0.004499605661865427
2024,all,7,matt gorman,1029,0.004271304636586277
2024,all,8,karine jean-pierre,1012,0.004200738865136358
2024,all,9,ashleigh merchant,1009,0.004188286081939313
2024,all,10,volodymyr zelenskyy,1000,0.00415092773234818
2024,all,11,john kirby,962,0.003993192478518949
2024,all,12,antony blinken,945,0.00392262670706903
2024,all,13,arthur aidala,858,0.0035614959943547383
2024,all,14,jennifer crumbley,849,0.0035241376447636046
2024,all,15,fani willis,809,0.0033581005354696774
2025,all,1,donald trump,5770,0.11302644466209598
2025,all,2,volodymyr zelenskyy,885,0.01733594515181195
2025,all,3,elon musk,637,0.01247796278158668
2025,all,4,karoline leavitt,404,0.00791380999020568
2025,all,5,arthur aidala,340,0.006660137120470127
2025,all,6,marco rubio,321,0.006287952987267385
2025,all,7,joe biden,309,0.006052889324191969
2025,all,8,pete hegseth,303,0.005935357492654261
2025,all,9,j d vance,261,0.005112634671890303
2025,all,10,kevin o'leary,251,0.004916748285994124
2025,all,11,bill gates,236,0.004622918707149853
2025,all,12,emmanuel macron,215,0.0042115572967678745
2025,all,13,melik abdul,201,0.003937316356513222
2025,all,14,keir starmer,199,0.003898139079333986
2025,all,15,justin trudeau,192,0.00376101860920666
2000,clip,1,al gore,1916,0.02982193998256755
2000,clip,2,william j clinton,1581,0.02460776989166978
2000,clip,3,george w. bush,601,0.009354376789938987
2000,clip,4,jonathan mann,322,0.005011829161997261
2000,clip,5,janet reno,274,0.004264724193749222
2000,clip,6,james baker,219,0.0034086664176316774
2000,clip,7,david boies,217,0.0033775370439546757
2000,clip,8,ehud barak,214,0.003330842983439173
2000,clip,9,yasser arafat,182,0.0028327730046071474
2000,clip,10,william daley,176,0.0027393848835761425
2000,clip,11,joe lockhart,168,0.002614867388868136
2000,clip,12,sante kimes,164,0.0025526086415141327
2000,clip,13,madeleine albright,163,0.002537043954675632
2000,clip,14,karen hughes,149,0.0023191383389366206
2000,clip,15,kofi annan,147,0.002288008965259619
2001,clip,1,george w. bush,4361,0.06249014859501053
2001,clip,2,donald rumsfeld,835,0.011964979150844714
2001,clip,3,john ashcroft,643,0.009213750411967845
2001,clip,4,colin powell,584,0.00836832074741714
2001,clip,5,ari fleischer,453,0.0064911803057876106
2001,clip,6,laura bush,418,0.005989654233596515
2001,clip,7,william j clinton,375,0.0053734936306188835
2001,clip,8,nancy reagan,309,0.00442775875162996
2001,clip,9,condoleezza rice,278,0.003983549944832132
2001,clip,10,al hunt,250,0.0035823290870792552
2001,clip,11,john ramsey,233,0.003338730709157866
2001,clip,12,ronald reagan,226,0.003238425494719647
2001,clip,13,dick cheney,207,0.0029661684841016233
2001,clip,14,jonathan mann,200,0.002865863269663404
2001,clip,15,tony blair,197,0.002822875320618453
2002,clip,1,george w. bush,3352,0.053718809596307635
2002,clip,2,donald rumsfeld,773,0.012388019038766646
2002,clip,3,colin powell,697,0.011170050802096187
2002,clip,4,ari fleischer,478,0.007660379172743153
2002,clip,5,john ashcroft,402,0.006442410936072693
2002,clip,6,yasser arafat,397,0.006362281446818058
2002,clip,7,condoleezza rice,345,0.0055289347585698485
2002,clip,8,charles moose,309,0.004952002435936473
2002,clip,9,al hunt,308,0.0049359765380855465
2002,clip,10,al gore,282,0.004519303193961442
2002,clip,11,dick cheney,261,0.004182759339091973
2002,clip,12,ariel sharon,257,0.004118655747688264
2002,clip,13,kofi annan,240,0.0038462154842225037
2002,clip,14,hans blix,232,0.003718008301415087
2002,clip,15,hamid karzai,208,0.0033333867529928363
2003,clip,1,george w. bush,3757,0.06944803874450071
2003,clip,2,colin powell,935,0.01728344855632371
2003,clip,3,donald rumsfeld,826,0.015268586639062443
2003,clip,4,hans blix,436,0.008059447669045067
2003,clip,5,ari fleischer,418,0.0077267181781211875
2003,clip,6,tony blair,400,0.007393988687197308
2003,clip,7,barry gibb,380,0.007024289252837443
2003,clip,8,arnold schwarzenegger,342,0.006321860327553699
2003,clip,9,tom ridge,252,0.004658212872934305
2003,clip,10,kofi annan,245,0.004528818070908352
2003,clip,11,luciano pavarotti,225,0.0041591186365484865
2003,clip,12,marlon brando,216,0.0039927538910865465
2003,clip,13,condoleezza rice,203,0.003752449258752634
2003,clip,14,paul bremer,202,0.0037339642870346406
2003,clip,15,al hunt,185,0.0034197197678287553
2004,clip,1,george w. bush,6110,0.07414058802829719
2004,clip,2,donald rumsfeld,860,0.010435500115275873
2004,clip,3,colin powell,737,0.00894298091274223
2004,clip,4,dick cheney,670,0.008129982647947483
2004,clip,5,condoleezza rice,566,0.0068680151921466795
2004,clip,6,bill clinton,551,0.0066860006552523325
2004,clip,7,john kerry,531,0.006443314606059871
2004,clip,8,sarah bernard,501,0.006079285532271177
2004,clip,9,ronald reagan,448,0.005436167501911153
2004,clip,10,teresa heinz kerry,433,0.005254152965016806
2004,clip,11,christopher reeve,426,0.005169212847799445
2004,clip,12,brig gen mark kimmitt,403,0.004890123891228113
2004,clip,13,tom ridge,360,0.004368348885464319
2004,clip,14,scott mcclellan,286,0.003470410503452209
2004,clip,15,marlon brando,274,0.003324798873936732
2005,clip,1,george w. bush,4738,0.03866240167118191
2005,clip,2,condoleezza rice,644,0.00525508372229657
2005,clip,3,scott mcclellan,542,0.0044227567973365535
2005,clip,4,donald rumsfeld,521,0.004251395371609492
2005,clip,5,ray nagin,349,0.002847863694225936
2005,clip,6,laura bush,331,0.0027009824721741685
2005,clip,7,martha stewart,325,0.002652022064823579
2005,clip,8,tony blair,305,0.0024888207069882822
2005,clip,9,bill clinton,291,0.002374579756503574
2005,clip,10,andy borowitz,280,0.002284819009694161
2005,clip,11,dennis rader,274,0.0022358586023435716
2005,clip,12,colin powell,249,0.00203185690504945
2005,clip,13,michael brown,247,0.00201553676926592
2005,clip,14,michael jackson,246,0.0020073767013741553
2005,clip,15,tom cruise,238,0.0019420961582400365
2006,clip,1,george w. bush,6811,0.0508044725241118
2006,clip,2,donald rumsfeld,1200,0.008951015567307907
2006,clip,3,angelina jolie,933,0.006959414603581898
2006,clip,4,condoleezza rice,812,0.0060568538672116845
2006,clip,5,tony snow,794,0.005922588633702065
2006,clip,6,scott mcclellan,417,0.003110477909639498
2006,clip,7,patsy ramsey,366,0.0027300597480289118
2006,clip,8,michael chertoff,360,0.0026853046701923724
2006,clip,9,john mark karr,350,0.0026107128737981396
2006,clip,10,george clooney,347,0.0025883353348798697
2006,clip,11,sue rubin,337,0.0025137435384856373
2006,clip,12,john bolton,336,0.002506284358846214
2006,clip,13,bill clinton,308,0.002297427328942363
2006,clip,14,liam neeson,303,0.0022601314307452466
2006,clip,15,dick cheney,302,0.0022526722511058235
2007,clip,1,george w. bush,3988,0.030387771741201032
2007,clip,2,tony snow,766,0.005836768594222666
2007,clip,3,dave karsnia,654,0.004983350731882015
2007,clip,4,robert gates,512,0.003901338799271547
2007,clip,5,ok ok,414,0.0031545981697234772
2007,clip,6,bob murray,402,0.0030631605416155507
2007,clip,7,hillary clinton,397,0.0030250615299039145
2007,clip,8,larry seidlin,382,0.002910764494769006
2007,clip,9,jeff corwin,379,0.002887905087742024
2007,clip,10,alberto gonzales,363,0.002765988250264788
2007,clip,11,matthew boyden,352,0.0026821704244991886
2007,clip,12,paris hilton,352,0.0026821704244991886
2007,clip,13,barack obama,351,0.002674550622156861
2007,clip,14,al gore,349,0.002659311017472207
2007,clip,15,condoleezza rice,347,0.0026440714127875524
2008,clip,1,barack obama,2583,0.023796143605995558
2008,clip,2,george w. bush,2373,0.021861497784369903
2008,clip,3,john mccain,1830,0.016859056445594996
2008,clip,4,michelle obama,1755,0.01616811150930012
2008,clip,5,bill clinton,1349,0.012427796254157185
2008,clip,6,casey anthony,1266,0.011663150524657521
2008,clip,7,cindy anthony,1238,0.011405197748440768
2008,clip,8,hillary clinton,929,0.008558504610905874
2008,clip,9,george anthony,566,0.005214331119238671
2008,clip,10,william jefferson clinton,552,0.005085354731130294
2008,clip,11,cindy mccain,435,0.004007480630510286
2008,clip,12,sarah palin,435,0.004007480630510286
2008,clip,13,jeremiah wright,367,0.0033810238882695976
2008,clip,14,lee anthony,363,0.003344173491667204
2008,clip,15,henry paulson,354,0.003261260099311819
2009,clip,1,barack obama,10489,0.07510059713888849
2009,clip,2,cindy anthony,1563,0.011190984205175204
2009,clip,3,casey anthony,1484,0.010625349047012157
2009,clip,4,robert gibbs,1370,0.00980911603396675
2009,clip,5,michelle obama,820,0.0058711497429582
2009,clip,6,hillary clinton,789,0.005649191642919537
2009,clip,7,barack h obama,631,0.004517921326593444
2009,clip,8,timothy geithner,571,0.0040883250039379666
2009,clip,9,ronald cummings,538,0.0038520470264774534
2009,clip,10,robert gates,528,0.003780447639368207
2009,clip,11,ok ok,518,0.0037088482522589605
2009,clip,12,joe jackson,512,0.003665888619993413
2009,clip,13,nadya suleman,508,0.0036372488651497145
2009,clip,14,george w. bush,490,0.003508369968353071
2009,clip,15,jon gosselin,446,0.003193332665072387
2010,clip,1,barack obama,4216,0.03193649062206466
2010,clip,2,misty croslin,2005,0.015188013210920219
2010,clip,3,pete dominick,1063,0.008052298275914312
2010,clip,4,hank croslin,693,0.005249522770657213
2010,clip,5,shirley sherrod,515,0.003901160500560555
2010,clip,6,cindy anthony,509,0.0038557100869617915
2010,clip,7,robert gibbs,482,0.0036511832257673546
2010,clip,8,bill clinton,461,0.003492106778171681
2010,clip,9,ronald cummings,435,0.003295154985910372
