year,mode,n_guest_turns,office_coverage,executive_share,academic_share,business_share,cabinet_secretary_share,candidate_share,diplomat_share,entertainment_share,governor_share,journalist_share,judiciary_share,mayor_share,military_share,president_share,press_secretary_share,religious_share,representative_share,senator_share,spokesperson_share,vice_president_share
2014,clip,100945,0.16588241121402747,0.06581801971370549,0.005240477487740849,0.014502947149437813,0.01399772153152707,0.000624102233889742,0.015364802615285552,0.03401852493932339,0.0015156768537322304,0.007528852345336569,0.0038535836346525335,0.002813413244836297,0.007380256575362822,0.04023973450889098,0.007310911882708405,0.0007033533112090742,0.0005052256179107435,0.0006934469265441577,0.005319728565060181,0.004269651790579028
2015,clip,81212,0.2023223168989804,0.09818745998128356,0.005073141900211791,0.014751514554499336,0.013027631384524455,0.00041865734127961385,0.01662315913904349,0.029687730877210265,0.003620154656947249,0.007708220460030537,0.006329113924050633,0.0038787371324434813,0.0060828448997685075,0.07273555632172585,0.007191055509038073,0.0015145544993350737,0.0014653006944786485,0.0009358222922720781,0.006045904546126188,0.005233216765995173
2016,clip,109131,0.2186088279224052,0.12588540378077723,0.004966508141591298,0.014093154099201876,0.007138210041143213,0.0006505942399501517,0.01240710705482402,0.02736161127452328,0.003417910584526853,0.005708735373083725,0.002648193455571744,0.005928654552785185,0.004242607508407327,0.10571698234232253,0.003811932448158635,0.0008796767188058389,0.0022266816944772794,0.0023549678826364643,0.00583702156124291,0.009218278949152853
2017,clip,104904,0.2699801723480516,0.15912643941127125,0.003955997864714405,0.013011896591169069,0.021438648669259514,0.001639594295737055,0.019961107298101122,0.03981735682147487,0.0021543506443986882,0.006224738808815679,0.002688172043010753,0.003813009990086174,0.00428010371387173,0.10210287500953252,0.02674826508045451,0.000657744223289865,0.003813009990086174,0.004966445512087241,0.003870205139937467,0.008836650652024708
2018,clip,103274,0.253732788504367,0.15009586149466467,0.0034180916784476247,0.014195247593779653,0.018068439297403024,0.0015589596607084068,0.017100141371497183,0.03794759571624998,0.002294866084396847,0.006419815248755737,0.004880221546565447,0.002294866084396847,0.002992040591049054,0.10665801653852858,0.01870751592850088,0.0011716404903460696,0.002352963959951198,0.003582702325851618,0.003427774657706683,0.0066618897302321975
2019,clip,103777,0.2550372433198107,0.14355782109716025,0.005540726750628752,0.018086859323356814,0.022037638397718183,0.0008383360474864373,0.02372394653921389,0.036135174460622296,0.002062113955886179,0.005935804658064889,0.0030449907012151055,0.003324436050377251,0.004413309307457336,0.10526417221542346,0.005839444192836563,0.0008961523266234329,0.0031220790733977664,0.0017055802345413724,0.0026499127937789683,0.010416566291182055
2020,clip,107492,0.27261563651248466,0.12526513601012168,0.021722546794180033,0.018913035388680086,0.014763889405723216,0.0006605142708294571,0.012270680608789492,0.06233952294124214,0.004084024857663827,0.004511963681018122,0.0037491162132995944,0.0038142373385926394,0.009777471811855766,0.09389535965467198,0.006344658207122391,0.0010326349867897146,0.0013861496669519593,0.0010047259330926953,0.002083876009377442,0.0102612287426041
2021,clip,115289,0.24858399326908898,0.1015101180511584,0.01463279237394721,0.02265610769457624,0.0115535740617058,0.001170970344091804,0.01991516970396135,0.049744554987899973,0.0026802210098101293,0.006028328808472621,0.007528905619790266,0.0032093261282516113,0.009706043074360954,0.07361500229857142,0.010000954123984074,0.0007806468960612027,0.0021858113089713678,0.0010582102368829637,0.0057767870308529,0.006340587566897102
2022,clip,109338,0.26957690830269443,0.12620497905577202,0.009877627174449871,0.01783460462053449,0.017541934185735974,0.00290841244581024,0.03006274122445993,0.03826665934990579,0.002963288152334961,0.007161279701476156,0.006905193071027456,0.005149170462236368,0.008085020761308969,0.09324297133658929,0.008341107391757668,0.0012438493478936874,0.002880974592547879,0.0021035687501143245,0.007929539592822258,0.0070789661416890744
2023,clip,111798,0.25193652838154523,0.11479632909354372,0.01001806830175853,0.018300864058391028,0.01542066942163545,0.00047406930356535897,0.024991502531351188,0.03356052881089107,0.003542102720978908,0.0061718456501905225,0.008846312098606415,0.004007227320703411,0.007960786418361688,0.08866884917440383,0.0043113472512925095,0.0009302491994490062,0.004105619062952826,0.001305926760764951,0.012925097050036673,0.006395463246211918
2024,clip,113680,0.26008972554539056,0.13201970443349753,0.008453553835327234,0.015816326530612244,0.012385643912737509,0.000844475721323012,0.02438423645320197,0.034421182266009855,0.0023574947220267417,0.006500703729767769,0.010318437719915552,0.003070021111893033,0.00586734693877551,0.09655172413793103,0.0034218859957776213,0.0007565095003518649,0.0039057002111189303,0.001715341308937368,0.009658691062631949,0.019660450387051373
2025,clip,24653,0.24662312903094963,0.13535877986451952,0.005516569991481767,0.020727700482699875,0.016225205857299314,0.001135764410010952,0.024459497829878718,0.036628402222853206,0.0013385794832271934,0.005313754918265526,0.003528982273962601,0.0025960329371678905,0.0033261672007463593,0.10376019145742911,0.007747535796860423,0.0012574534539406968,0.0011763274246542003,0.0007706972782217175,0.0034884192593193524,0.007625846752930678
2000,live,142568,0.052150552718702614,0.00841002188429381,0.0034018854160821504,0.0042646316143875205,0.0015501374782559902,0.00013326973794961002,0.0007926042309634701,0.02080410751360754,0.00018938331182313,0.00855030581897761,0.00128359800235677,0.00021744009875989003,0.00122748442848325,0.004994108074743281,0.00061724931260872,7.01419673419e-05,0.00029459626283598003,0.00023146849222827003,0.00227961393861175,0.0012485270186858202
2001,live,180740,0.041291357751466196,0.009394710634059975,0.0030319796392608168,0.003363948212902512,0.002744273542104681,1.6598428682084763e-05,0.001964147394046697,0.011314595551621114,0.00017151709638154255,0.005720925085758548,0.0015879163439194424,0.0005145512891446276,0.002262919110324223,0.005449817417284497,0.0007413964811331194,0.00013832023901737302,0.0005090184795839328,0.00023237800154918669,0.0010678322452141197,0.00045922319353767843
2002,live,194443,0.030723656804307664,0.005986330184167082,0.002031443662152919,0.0018668710110417964,0.0014502964879167673,7.20005348611161e-05,0.0018668710110417964,0.00809491727652834,0.0001748584418055677,0.0047520353008336635,0.0017794417901390125,0.00046286058125003215,0.0015068683367362157,0.0035640264756252476,0.0005348611161111482,0.0002520018720139064,0.0005605755928472612,0.00018514423250001286,0.0011314369763889675,0.00043714610451391924
2003,live,177512,0.035783496327008835,0.005672855919599802,0.002535039884627518,0.001746360809410068,0.0018477624047951687,6.196764162422822e-05,0.0025181396187300012,0.009075442786966516,0.0002478705664969129,0.006236198116183695,0.001825228716931813,0.00039997295957456397,0.0033913200234350353,0.003250484474289062,0.0003323718959844968,0.00016336923700932895,0.00035490558384785253,0.00022533687863355716,0.0013294875839379872,0.00024223714453107395
2004,live,171140,0.03660745588407155,0.0065560359939231035,0.003155311440925558,0.0028280939581629074,0.0015133808577772584,5.84316933504733e-05,0.0010692999883136613,0.008998480775972888,0.00026294262007712984,0.007531845272876008,0.0015718125511277317,0.0004557672081336917,0.0020626387752717074,0.0041953955825639825,0.00036227649877293444,0.0001402360640411359,0.0002687857894121772,0.0005083557321491176,0.0011394180203342292,0.00048498305480892837
